,count,unique,top,freq,mean,std,min,25%,50%,75%,max
 Bwd Packet Length Mean,225745.0,,,,890.5368490131339,1120.3249207798203,0.0,0.0,92.0,1934.5,5800.5
 Bwd Packet Length Std,225745.0,,,,1230.1729380628096,1733.2012666562384,0.0,0.0,2.449489743,2436.833027,8194.660487
Flow Bytes/s,225741.0,,,,inf,,-12000000.0,12.09086893,1136.605811,21597.22557,inf
 Flow Packets/s,225745.0,,,,inf,,-2000000.0,0.618550605,5.179322533,70.46932571,inf
 Flow IAT Mean,225745.0,,,,1580587.2373814192,2701595.7854810446,-1.0,19181.625,224516.8571,2013458.667,107000000.0
 Flow IAT Std,225745.0,,,,4248569.380688856,7622819.07728901,0.0,19104.46268,564167.6299,4033232.437,69200000.0
 Flow IAT Max,225745.0,,,,13489773.823712597,26701716.686247945,-1.0,61178.0,1422624.0,8358910.0,120000000.0
 Flow IAT Min,225745.0,,,,28118.54771977231,759810.0411378323,-12.0,1.0,3.0,39.0,107000000.0
Fwd IAT Total,225745.0,,,,15396522.995525924,31608257.664847963,0.0,129.0,23710.0,7869855.0,120000000.0
 Fwd IAT Mean,225745.0,,,,2540609.5092179705,5934694.00161218,0.0,110.0,10329.33333,2017643.0,120000000.0
 Fwd IAT Std,225745.0,,,,5195207.380945546,10786352.442594893,0.0,0.0,12734.99313,3680321.09,76700000.0
 Fwd IAT Max,225745.0,,,,12994339.103634631,27488695.815124348,0.0,124.0,23028.0,7548056.0,120000000.0
 Fwd IAT Min,225745.0,,,,207369.8266849764,3795227.553758387,-12.0,1.0,4.0,122.0,120000000.0
Bwd IAT Total,225745.0,,,,6564701.0865534125,21984549.33129201,0.0,0.0,41101.0,1111677.0,120000000.0
 Bwd IAT Mean,225745.0,,,,947632.220446362,4586373.976128273,0.0,0.0,10009.4,265583.75,120000000.0
 Bwd IAT Std,225745.0,,,,1610306.2431688516,5475777.673100954,0.0,0.0,14703.71894,517792.0452,76700000.0
 Bwd IAT Max,225745.0,,,,4567514.461542891,16178651.193533175,0.0,0.0,33365.0,1094045.0,120000000.0
 Bwd IAT Min,225745.0,,,,225781.7441095041,4019289.758684514,0.0,0.0,3.0,47.0,120000000.0
Fwd PSH Flags,225745.0,,,,0.0332233272054752,0.1792196418306087,0.0,0.0,0.0,0.0,1.0
 Bwd PSH Flags,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fwd URG Flags,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bwd URG Flags,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fwd Header Length,225745.0,,,,111.5227181111431,375.7907268029726,0.0,64.0,72.0,100.0,39396.0
 Bwd Header Length,225745.0,,,,106.78902301269132,511.7657947610004,0.0,20.0,92.0,120.0,58852.0
Fwd Packets/s,225745.0,,,,12615.082673248557,110670.13571589773,0.0,0.424684173,2.315615274,32.87274959,3000000.0
 Bwd Packets/s,225745.0,,,,1641.6927499822327,19895.934192448974,0.0,0.035273471,1.483289997,21.02474613,2000000.0
 Min Packet Length,225745.0,,,,8.072595184832444,15.767713347450883,0.0,0.0,0.0,6.0,337.0
 Max Packet Length,225745.0,,,,3226.0453387671932,3813.1348498844277,0.0,6.0,513.0,5840.0,11680.0
 Packet Length Mean,225745.0,,,,515.0021370290679,559.0644948095963,0.0,6.0,110.3333333,1162.7,1936.833333
 Packet Length Std,225745.0,,,,1085.5932074544223,1269.5587141859457,0.0,0.0,154.0308116,2131.87096,4731.522394
 Packet Length Variance,225745.0,,,,2789905.5452141496,4115940.962771325,0.0,0.0,23725.49091,4544873.789,22400000.0
FIN Flag Count,225745.0,,,,0.0026711555073202064,0.05161426388746182,0.0,0.0,0.0,0.0,1.0
 SYN Flag Count,225745.0,,,,0.0332233272054752,0.1792196418306087,0.0,0.0,0.0,0.0,1.0
 RST Flag Count,225745.0,,,,0.00011960397793971074,0.010935730546520242,0.0,0.0,0.0,0.0,1.0
 PSH Flag Count,225745.0,,,,0.35116170900795146,0.4773344450709074,0.0,0.0,0.0,1.0,1.0
 ACK Flag Count,225745.0,,,,0.5044630002879354,0.4999811886354741,0.0,0.0,1.0,1.0,1.0
 URG Flag Count,225745.0,,,,0.1407517331502359,0.34776603990048255,0.0,0.0,0.0,0.0,1.0
 CWE Flag Count,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ECE Flag Count,225745.0,,,,0.00011960397793971074,0.010935730546520242,0.0,0.0,0.0,0.0,1.0
 Down/Up Ratio,225745.0,,,,1.0058207269263992,1.4307811128931063,0.0,0.0,1.0,1.0,7.0
 Average Packet Size,225745.0,,,,574.5688431715975,626.0962023713608,0.0,7.5,141.0,1291.888889,2528.0
 Avg Fwd Segment Size,225745.0,,,,164.82671500740437,504.89296453736137,0.0,6.0,8.666666667,32.0,3867.0
 Avg Bwd Segment Size,225745.0,,,,890.5368490131427,1120.3249207798244,0.0,0.0,92.0,1934.5,5800.5
 Fwd Header Length.1,225745.0,,,,111.5227181111431,375.7907268029726,0.0,64.0,72.0,100.0,39396.0
Fwd Avg Bytes/Bulk,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fwd Avg Packets/Bulk,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Fwd Avg Bulk Rate,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bwd Avg Bytes/Bulk,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bwd Avg Packets/Bulk,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,225745.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,225745.0,,,,4.874916387959866,15.422873551647712,1.0,2.0,3.0,5.0,1932.0
 Subflow Fwd Bytes,225745.0,,,,939.4633458105384,3249.4034840923896,0.0,26.0,30.0,63.0,183012.0
 Subflow Bwd Packets,225745.0,,,,4.572774590799353,21.75535579690998,0.0,1.0,4.0,5.0,2942.0
 Subflow Bwd Bytes,225745.0,,,,5960.4774546501585,39218.33744613414,0.0,0.0,164.0,11601.0,5172346.0
Init_Win_bytes_forward,225745.0,,,,4247.436922190967,8037.781019131721,-1.0,229.0,256.0,8192.0,65535.0
 Init_Win_bytes_backward,225745.0,,,,601.0486345212519,4319.72033893088,-1.0,-1.0,126.0,229.0,65535.0
 act_data_pkt_fwd,225745.0,,,,3.3114974861015747,12.270017500874566,0.0,1.0,2.0,4.0,1931.0
 min_seg_size_forward,225745.0,,,,21.4827526634034,4.166798724338097,0.0,20.0,20.0,20.0,52.0
Active Mean,225745.0,,,,184826.09269310167,797925.0418095827,0.0,0.0,0.0,1878.0,100000000.0
 Active Std,225745.0,,,,12934.35755132976,210273.67001321373,0.0,0.0,0.0,0.0,39500000.0
 Active Max,225745.0,,,,208084.86863053445,900234.9869915592,0.0,0.0,0.0,1878.0,100000000.0
 Active Min,225745.0,,,,177620.0888524663,784260.2204809656,0.0,0.0,0.0,1862.0,100000000.0
Idle Mean,225745.0,,,,10322143.418774217,21853028.149107907,0.0,0.0,0.0,8239725.0,120000000.0
 Idle Std,225745.0,,,,3611942.9274481377,12756893.458257632,0.0,0.0,0.0,0.0,65300000.0
 Idle Max,225745.0,,,,12878128.943883585,26921263.645750124,0.0,0.0,0.0,8253838.0,120000000.0
 Idle Min,225745.0,,,,7755355.09294558,19831094.4504528,0.0,0.0,0.0,7422849.0,120000000.0
 Label,225745,2,DDoS,128027,,,,,,,
